Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Online Offline,,,2018-10-11 10:58:14,2018-10-11 11:00:18,2m - 4.321s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-11 10:58:15,2018-10-11 10:58:46,31.840s,PASSED
startApplication,,,2018-10-11 10:58:15,2018-10-11 10:58:46,31.428s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-11 10:58:46,2018-10-11 11:00:18,1m - 31.490s,FAILED
delay,,,2018-10-11 10:58:47,2018-10-11 10:58:54,7.038s,PASSED
tap,,,2018-10-11 10:58:54,2018-10-11 10:58:58,4.166s,PASSED
tap,,,2018-10-11 10:58:58,2018-10-11 10:59:01,3.396s,PASSED
tap,,,2018-10-11 10:59:01,2018-10-11 10:59:04,2.630s,PASSED
tap,,,2018-10-11 10:59:04,2018-10-11 10:59:09,4.855s,PASSED
tap,,,2018-10-11 10:59:09,2018-10-11 10:59:11,1.793s,PASSED
tap,,,2018-10-11 10:59:11,2018-10-11 10:59:21,10.569s,PASSED
tap,,,2018-10-11 10:59:21,2018-10-11 11:00:05,43.499s,PASSED
tap,,,2018-10-11 11:00:05,2018-10-11 11:00:08,3.667s,PASSED
tap,,,2018-10-11 11:00:08,2018-10-11 11:00:11,2.384s,PASSED
tap,,,2018-10-11 11:00:11,2018-10-11 11:00:18,7.116s,FAILED
