Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Online Offline,,,2018-10-11 11:18:42,2018-10-11 11:21:02,2m - 20.429s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-11 11:18:42,2018-10-11 11:19:15,33.039s,PASSED
startApplication,,,2018-10-11 11:18:43,2018-10-11 11:19:15,32.622s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-11 11:19:15,2018-10-11 11:21:01,1m - 46.296s,FAILED
delay,,,2018-10-11 11:19:16,2018-10-11 11:19:23,7.063s,PASSED
tap,,,2018-10-11 11:19:23,2018-10-11 11:19:27,4.086s,PASSED
tap,,,2018-10-11 11:19:27,2018-10-11 11:19:30,3.127s,PASSED
tap,,,2018-10-11 11:19:30,2018-10-11 11:19:33,3.483s,PASSED
tap,,,2018-10-11 11:19:33,2018-10-11 11:19:38,5.029s,PASSED
tap,,,2018-10-11 11:19:38,2018-10-11 11:19:40,1.850s,PASSED
tap,,,2018-10-11 11:19:40,2018-10-11 11:19:51,10.747s,PASSED
tap,,,2018-10-11 11:19:51,2018-10-11 11:20:47,56.470s,PASSED
tap,,,2018-10-11 11:20:47,2018-10-11 11:20:52,4.487s,PASSED
tap,,,2018-10-11 11:20:52,2018-10-11 11:20:54,2.489s,PASSED
tap,,,2018-10-11 11:20:54,2018-10-11 11:21:01,7.079s,FAILED
