Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD ONLINE,,,2018-11-02 14:07:34,2018-11-02 14:08:57,1m - 22.758s,FAILED
,,,,,,
Test Cases/Open,,,2018-11-02 14:07:37,2018-11-02 14:08:41,1m - 3.842s,FAILED
startApplication,,,2018-11-02 14:07:38,2018-11-02 14:08:41,1m - 3.286s,FAILED
,,,,,,
Test Cases/DONA 1st bod,,,2018-11-02 14:08:41,2018-11-02 14:08:57,15.672s,FAILED
delay,,,2018-11-02 14:08:41,2018-11-02 14:08:56,15.055s,PASSED
tap,,,2018-11-02 14:08:56,2018-11-02 14:08:57,0.311s,PASSED
