Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Telco,,,2018-10-11 16:46:36,2018-10-11 16:47:50,1m - 13.858s,PASSED
,,,,,,
Test Cases/Open,,,2018-10-11 16:46:37,2018-10-11 16:47:08,31.481s,PASSED
startApplication,,,2018-10-11 16:46:37,2018-10-11 16:47:08,31.130s,PASSED
,,,,,,
Test Cases/DONA Telco,,,2018-10-11 16:47:08,2018-10-11 16:47:50,41.434s,PASSED
delay,,,2018-10-11 16:47:09,2018-10-11 16:47:17,8.034s,PASSED
tap,,,2018-10-11 16:47:17,2018-10-11 16:47:20,3.832s,PASSED
tap,,,2018-10-11 16:47:20,2018-10-11 16:47:24,3.637s,PASSED
tap,,,2018-10-11 16:47:24,2018-10-11 16:47:27,2.842s,PASSED
tap,,,2018-10-11 16:47:27,2018-10-11 16:47:31,4.571s,PASSED
setText,,,2018-10-11 16:47:31,2018-10-11 16:47:33,1.959s,PASSED
scrollToText,,,2018-10-11 16:47:33,2018-10-11 16:47:37,3.812s,PASSED
tap,,,2018-10-11 16:47:37,2018-10-11 16:47:39,2.162s,PASSED
tap,,,2018-10-11 16:47:39,2018-10-11 16:47:41,1.272s,PASSED
pressBack,,,2018-10-11 16:47:41,2018-10-11 16:47:42,1.075s,PASSED
delay,,,2018-10-11 16:47:42,2018-10-11 16:47:50,8.003s,PASSED
