Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD ONLINE,,,2018-11-02 11:27:38,2018-11-02 11:29:35,1m - 56.361s,FAILED
,,,,,,
Test Cases/Open,,,2018-11-02 11:27:39,2018-11-02 11:28:11,32.191s,PASSED
startApplication,,,2018-11-02 11:27:39,2018-11-02 11:28:11,31.791s,PASSED
,,,,,,
Test Cases/DONA 1st bod,,,2018-11-02 11:28:11,2018-11-02 11:29:34,1m - 22.975s,FAILED
delay,,,2018-11-02 11:28:11,2018-11-02 11:28:26,15.048s,PASSED
tap,,,2018-11-02 11:28:26,2018-11-02 11:28:31,4.208s,PASSED
tap,,,2018-11-02 11:28:31,2018-11-02 11:28:34,3.586s,PASSED
tap,,,2018-11-02 11:28:34,2018-11-02 11:28:37,2.723s,PASSED
delay,,,2018-11-02 11:28:37,2018-11-02 11:28:45,8.004s,PASSED
tap,,,2018-11-02 11:28:45,2018-11-02 11:28:47,1.952s,PASSED
tap,,,2018-11-02 11:28:47,2018-11-02 11:28:50,3.015s,PASSED
tap,,,2018-11-02 11:28:50,2018-11-02 11:28:51,1.184s,PASSED
tap,,,2018-11-02 11:28:51,2018-11-02 11:29:22,30.717s,PASSED
tap,,,2018-11-02 11:29:22,2018-11-02 11:29:26,4.622s,PASSED
tap,,,2018-11-02 11:29:26,2018-11-02 11:29:29,2.170s,PASSED
tap,,,2018-11-02 11:29:29,2018-11-02 11:29:34,5.357s,FAILED
