Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD ONLINE,,,2018-10-31 19:00:48,2018-10-31 19:02:00,1m - 12.420s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-31 19:00:48,2018-10-31 19:01:21,32.787s,PASSED
startApplication,,,2018-10-31 19:00:49,2018-10-31 19:01:21,32.385s,PASSED
,,,,,,
Test Cases/DONA 1st bod,,,2018-10-31 19:01:21,2018-10-31 19:01:59,38.485s,FAILED
delay,,,2018-10-31 19:01:21,2018-10-31 19:01:36,15.073s,PASSED
tap,,,2018-10-31 19:01:36,2018-10-31 19:01:40,3.989s,PASSED
tap,,,2018-10-31 19:01:40,2018-10-31 19:01:44,3.664s,PASSED
tap,,,2018-10-31 19:01:44,2018-10-31 19:01:47,2.944s,PASSED
tap,,,2018-10-31 19:01:47,2018-10-31 19:01:52,5.139s,PASSED
tap,,,2018-10-31 19:01:52,2018-10-31 19:01:54,1.579s,PASSED
tap,,,2018-10-31 19:01:54,2018-10-31 19:01:59,5.636s,FAILED
