Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Telco,,,2018-11-02 11:17:39,2018-11-02 11:19:32,1m - 52.751s,FAILED
,,,,,,
Test Cases/Open,,,2018-11-02 11:17:40,2018-11-02 11:19:02,1m - 21.730s,PASSED
startApplication,,,2018-11-02 11:17:40,2018-11-02 11:19:02,1m - 21.308s,PASSED
,,,,,,
Test Cases/DONA Telco,,,2018-11-02 11:19:02,2018-11-02 11:19:31,29.663s,FAILED
delay,,,2018-11-02 11:19:02,2018-11-02 11:19:17,15.057s,PASSED
tap,,,2018-11-02 11:19:17,2018-11-02 11:19:21,3.595s,PASSED
tap,,,2018-11-02 11:19:21,2018-11-02 11:19:24,3.827s,PASSED
tap,,,2018-11-02 11:19:24,2018-11-02 11:19:26,1.453s,PASSED
tap,,,2018-11-02 11:19:26,2018-11-02 11:19:31,5.411s,FAILED
