Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Telco,,,2018-10-11 16:38:53,2018-10-11 16:40:07,1m - 13.999s,PASSED
,,,,,,
Test Cases/Open,,,2018-10-11 16:38:54,2018-10-11 16:39:25,31.190s,PASSED
startApplication,,,2018-10-11 16:38:54,2018-10-11 16:39:25,30.803s,PASSED
,,,,,,
Test Cases/DONA Telco,,,2018-10-11 16:39:25,2018-10-11 16:40:07,41.738s,PASSED
delay,,,2018-10-11 16:39:25,2018-10-11 16:39:33,8.060s,PASSED
tap,,,2018-10-11 16:39:33,2018-10-11 16:39:37,3.749s,PASSED
tap,,,2018-10-11 16:39:37,2018-10-11 16:39:41,3.613s,PASSED
tap,,,2018-10-11 16:39:41,2018-10-11 16:39:44,2.766s,PASSED
tap,,,2018-10-11 16:39:44,2018-10-11 16:39:48,4.672s,PASSED
setText,,,2018-10-11 16:39:48,2018-10-11 16:39:50,1.978s,PASSED
scrollToText,,,2018-10-11 16:39:50,2018-10-11 16:39:54,3.898s,PASSED
tap,,,2018-10-11 16:39:54,2018-10-11 16:39:56,2.272s,PASSED
tap,,,2018-10-11 16:39:56,2018-10-11 16:39:58,1.902s,PASSED
pressBack,,,2018-10-11 16:39:58,2018-10-11 16:39:59,0.585s,PASSED
delay,,,2018-10-11 16:39:59,2018-10-11 16:40:07,8.002s,PASSED
