Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD ONLINE,,,2018-10-10 17:36:58,2018-10-10 17:38:34,1m - 36.246s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-10 17:36:58,2018-10-10 17:37:30,31.544s,PASSED
startApplication,,,2018-10-10 17:36:59,2018-10-10 17:37:30,31.125s,PASSED
,,,,,,
Test Cases/DONA 1st bod,,,2018-10-10 17:37:30,2018-10-10 17:38:33,1m - 3.507s,FAILED
delay,,,2018-10-10 17:37:30,2018-10-10 17:37:37,7.040s,PASSED
tap,,,2018-10-10 17:37:37,2018-10-10 17:37:41,4.055s,PASSED
tap,,,2018-10-10 17:37:42,2018-10-10 17:37:45,3.749s,PASSED
tap,,,2018-10-10 17:37:45,2018-10-10 17:37:48,3.221s,PASSED
tap,,,2018-10-10 17:37:48,2018-10-10 17:37:54,5.877s,PASSED
tap,,,2018-10-10 17:37:54,2018-10-10 17:37:56,1.806s,PASSED
tap,,,2018-10-10 17:37:56,2018-10-10 17:38:07,10.583s,PASSED
tap,,,2018-10-10 17:38:07,2018-10-10 17:38:33,26.700s,FAILED
