Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Online Offline,,,2018-10-11 17:10:11,2018-10-11 17:12:28,2m - 17.283s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-11 17:10:11,2018-10-11 17:10:42,30.735s,PASSED
startApplication,,,2018-10-11 17:10:12,2018-10-11 17:10:42,30.324s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-11 17:10:42,2018-10-11 17:12:28,1m - 45.463s,FAILED
delay,,,2018-10-11 17:10:42,2018-10-11 17:10:50,8.021s,PASSED
tap,,,2018-10-11 17:10:50,2018-10-11 17:10:54,3.465s,PASSED
tap,,,2018-10-11 17:10:54,2018-10-11 17:10:57,3.327s,PASSED
tap,,,2018-10-11 17:10:57,2018-10-11 17:11:00,2.653s,PASSED
tap,,,2018-10-11 17:11:00,2018-10-11 17:11:05,5.102s,PASSED
tap,,,2018-10-11 17:11:05,2018-10-11 17:11:07,1.726s,PASSED
tap,,,2018-10-11 17:11:07,2018-10-11 17:11:17,10.703s,PASSED
tap,,,2018-10-11 17:11:17,2018-10-11 17:12:01,43.130s,PASSED
tap,,,2018-10-11 17:12:01,2018-10-11 17:12:05,4.216s,PASSED
tap,,,2018-10-11 17:12:05,2018-10-11 17:12:07,2.301s,PASSED
tap,,,2018-10-11 17:12:07,2018-10-11 17:12:11,4.117s,PASSED
tap,,,2018-10-11 17:12:11,2018-10-11 17:12:13,2.233s,PASSED
scrollToText,,,2018-10-11 17:12:13,2018-10-11 17:12:17,3.798s,PASSED
tap,,,2018-10-11 17:12:17,2018-10-11 17:12:19,1.895s,PASSED
tap,,,2018-10-11 17:12:19,2018-10-11 17:12:28,8.485s,FAILED
