Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Telco,,,2018-10-11 16:42:20,2018-10-11 16:43:33,1m - 13.212s,PASSED
,,,,,,
Test Cases/Open,,,2018-10-11 16:42:20,2018-10-11 16:42:51,30.741s,PASSED
startApplication,,,2018-10-11 16:42:21,2018-10-11 16:42:51,30.322s,PASSED
,,,,,,
Test Cases/DONA Telco,,,2018-10-11 16:42:51,2018-10-11 16:43:33,41.570s,PASSED
delay,,,2018-10-11 16:42:51,2018-10-11 16:42:59,8.038s,PASSED
tap,,,2018-10-11 16:42:59,2018-10-11 16:43:04,4.363s,PASSED
tap,,,2018-10-11 16:43:04,2018-10-11 16:43:07,3.348s,PASSED
tap,,,2018-10-11 16:43:07,2018-10-11 16:43:10,2.646s,PASSED
tap,,,2018-10-11 16:43:10,2018-10-11 16:43:15,5.060s,PASSED
setText,,,2018-10-11 16:43:15,2018-10-11 16:43:17,1.942s,PASSED
scrollToText,,,2018-10-11 16:43:17,2018-10-11 16:43:21,3.786s,PASSED
tap,,,2018-10-11 16:43:21,2018-10-11 16:43:23,2.224s,PASSED
tap,,,2018-10-11 16:43:23,2018-10-11 16:43:24,1.368s,PASSED
pressBack,,,2018-10-11 16:43:24,2018-10-11 16:43:25,0.523s,PASSED
delay,,,2018-10-11 16:43:25,2018-10-11 16:43:33,7.988s,PASSED
