Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
My Home Credit Mobile App,,,2018-09-27 17:55:41,2018-09-27 17:56:30,49.411s,PASSED
,,,,,,
Test Cases/Open,,,2018-09-27 17:55:41,2018-09-27 17:56:11,29.977s,PASSED
startApplication,,,2018-09-27 17:55:41,2018-09-27 17:56:11,29.614s,PASSED
,,,,,,
Test Cases/Login,,,2018-09-27 17:56:11,2018-09-27 17:56:19,7.689s,PASSED
setText,,,2018-09-27 17:56:11,2018-09-27 17:56:14,2.986s,PASSED
setText,,,2018-09-27 17:56:14,2018-09-27 17:56:16,2.100s,PASSED
tap,,,2018-09-27 17:56:16,2018-09-27 17:56:19,2.406s,PASSED
,,,,,,
Test Cases/Logout,,,2018-09-27 17:56:19,2018-09-27 17:56:30,11.319s,PASSED
tap,,,2018-09-27 17:56:19,2018-09-27 17:56:23,3.879s,PASSED
scrollToText,,,2018-09-27 17:56:23,2018-09-27 17:56:27,4.404s,PASSED
tap,,,2018-09-27 17:56:27,2018-09-27 17:56:29,2.307s,PASSED
closeApplication,,,2018-09-27 17:56:29,2018-09-27 17:56:30,0.564s,PASSED
