Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Online Offline,,,2018-10-11 17:13:20,2018-10-11 17:15:52,2m - 32.305s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-11 17:13:20,2018-10-11 17:13:51,30.543s,PASSED
startApplication,,,2018-10-11 17:13:20,2018-10-11 17:13:51,30.147s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-11 17:13:51,2018-10-11 17:15:52,2m - 0.931s,FAILED
delay,,,2018-10-11 17:13:51,2018-10-11 17:13:59,8.021s,PASSED
tap,,,2018-10-11 17:13:59,2018-10-11 17:14:03,3.813s,PASSED
tap,,,2018-10-11 17:14:03,2018-10-11 17:14:06,3.497s,PASSED
tap,,,2018-10-11 17:14:06,2018-10-11 17:14:09,2.637s,PASSED
tap,,,2018-10-11 17:14:09,2018-10-11 17:14:14,5.125s,PASSED
tap,,,2018-10-11 17:14:14,2018-10-11 17:14:16,1.770s,PASSED
tap,,,2018-10-11 17:14:16,2018-10-11 17:14:26,10.529s,PASSED
tap,,,2018-10-11 17:14:26,2018-10-11 17:15:16,49.690s,PASSED
tap,,,2018-10-11 17:15:16,2018-10-11 17:15:20,3.607s,PASSED
tap,,,2018-10-11 17:15:20,2018-10-11 17:15:22,2.358s,PASSED
tap,,,2018-10-11 17:15:22,2018-10-11 17:15:27,5.004s,PASSED
tap,,,2018-10-11 17:15:27,2018-10-11 17:15:30,2.670s,PASSED
scrollToText,,,2018-10-11 17:15:30,2018-10-11 17:15:33,3.767s,PASSED
tap,,,2018-10-11 17:15:33,2018-10-11 17:15:36,2.325s,PASSED
tap,,,2018-10-11 17:15:36,2018-10-11 17:15:52,15.818s,FAILED
