Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD ONLINE,,,2018-11-02 14:02:02,2018-11-02 14:06:19,4m - 16.752s,FAILED
,,,,,,
Test Cases/Open,,,2018-11-02 14:02:04,2018-11-02 14:04:18,2m - 13.842s,PASSED
startApplication,,,2018-11-02 14:02:05,2018-11-02 14:04:18,2m - 12.973s,PASSED
,,,,,,
Test Cases/DONA 1st bod,,,2018-11-02 14:04:18,2018-11-02 14:06:14,1m - 56.405s,FAILED
delay,,,2018-11-02 14:04:19,2018-11-02 14:04:34,15.068s,PASSED
tap,,,2018-11-02 14:04:34,2018-11-02 14:04:38,3.993s,PASSED
tap,,,2018-11-02 14:04:38,2018-11-02 14:04:40,2.678s,PASSED
tap,,,2018-11-02 14:04:40,2018-11-02 14:04:46,5.282s,PASSED
delay,,,2018-11-02 14:04:46,2018-11-02 14:04:54,8.003s,PASSED
tap,,,2018-11-02 14:04:54,2018-11-02 14:04:58,4.191s,PASSED
tap,,,2018-11-02 14:04:58,2018-11-02 14:05:01,3.505s,PASSED
tap,,,2018-11-02 14:05:01,2018-11-02 14:05:04,2.848s,PASSED
tap,,,2018-11-02 14:05:04,2018-11-02 14:05:47,42.955s,PASSED
tap,,,2018-11-02 14:05:47,2018-11-02 14:05:52,4.759s,PASSED
tap,,,2018-11-02 14:05:52,2018-11-02 14:05:55,3.403s,PASSED
delay,,,2018-11-02 14:05:55,2018-11-02 14:06:03,8.002s,PASSED
tap,,,2018-11-02 14:06:03,2018-11-02 14:06:05,1.929s,PASSED
tap,,,2018-11-02 14:06:05,2018-11-02 14:06:14,8.952s,FAILED
