Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Telco,,,2018-10-11 15:33:01,2018-10-11 15:34:15,1m - 13.978s,PASSED
,,,,,,
Test Cases/Open,,,2018-10-11 15:33:01,2018-10-11 15:33:32,30.642s,PASSED
startApplication,,,2018-10-11 15:33:02,2018-10-11 15:33:32,30.252s,PASSED
,,,,,,
Test Cases/DONA Telco,,,2018-10-11 15:33:32,2018-10-11 15:34:14,42.289s,PASSED
delay,,,2018-10-11 15:33:32,2018-10-11 15:33:40,8.041s,PASSED
tap,,,2018-10-11 15:33:40,2018-10-11 15:33:44,3.551s,PASSED
tap,,,2018-10-11 15:33:44,2018-10-11 15:33:47,3.435s,PASSED
tap,,,2018-10-11 15:33:47,2018-10-11 15:33:50,2.643s,PASSED
tap,,,2018-10-11 15:33:50,2018-10-11 15:33:56,5.873s,PASSED
setText,,,2018-10-11 15:33:56,2018-10-11 15:33:58,2.106s,PASSED
scrollToText,,,2018-10-11 15:33:58,2018-10-11 15:34:02,4.275s,PASSED
tap,,,2018-10-11 15:34:02,2018-10-11 15:34:04,2.259s,PASSED
tap,,,2018-10-11 15:34:04,2018-10-11 15:34:06,1.320s,PASSED
pressBack,,,2018-10-11 15:34:06,2018-10-11 15:34:06,0.525s,PASSED
delay,,,2018-10-11 15:34:06,2018-10-11 15:34:14,8.000s,PASSED
