Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
My Home Credit Mobile App,,,2018-10-02 11:21:50,2018-10-02 11:22:41,50.659s,PASSED
,,,,,,
Test Cases/Open,,,2018-10-02 11:21:50,2018-10-02 11:22:22,31.180s,PASSED
startApplication,,,2018-10-02 11:21:51,2018-10-02 11:22:22,30.822s,PASSED
,,,,,,
Test Cases/Login,,,2018-10-02 11:22:22,2018-10-02 11:22:28,6.833s,PASSED
setText,,,2018-10-02 11:22:22,2018-10-02 11:22:24,2.377s,PASSED
setText,,,2018-10-02 11:22:24,2018-10-02 11:22:26,2.224s,PASSED
tap,,,2018-10-02 11:22:26,2018-10-02 11:22:28,2.004s,PASSED
,,,,,,
Test Cases/Logout,,,2018-10-02 11:22:28,2018-10-02 11:22:41,12.216s,PASSED
tap,,,2018-10-02 11:22:29,2018-10-02 11:22:33,4.489s,PASSED
scrollToText,,,2018-10-02 11:22:33,2018-10-02 11:22:37,4.443s,PASSED
tap,,,2018-10-02 11:22:37,2018-10-02 11:22:40,2.598s,PASSED
closeApplication,,,2018-10-02 11:22:40,2018-10-02 11:22:41,0.527s,PASSED
