Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
My Home Credit Mobile App,,,2018-10-02 11:37:15,2018-10-02 11:38:06,50.916s,PASSED
,,,,,,
Test Cases/Open,,,2018-10-02 11:37:16,2018-10-02 11:37:47,31.341s,PASSED
startApplication,,,2018-10-02 11:37:16,2018-10-02 11:37:47,30.965s,PASSED
,,,,,,
Test Cases/Login,,,2018-10-02 11:37:47,2018-10-02 11:37:55,8.181s,PASSED
setText,,,2018-10-02 11:37:47,2018-10-02 11:37:50,2.947s,PASSED
setText,,,2018-10-02 11:37:50,2018-10-02 11:37:53,2.305s,PASSED
tap,,,2018-10-02 11:37:53,2018-10-02 11:37:55,2.487s,PASSED
,,,,,,
Test Cases/Logout,,,2018-10-02 11:37:55,2018-10-02 11:38:06,11.001s,PASSED
tap,,,2018-10-02 11:37:55,2018-10-02 11:37:59,3.388s,PASSED
scrollToText,,,2018-10-02 11:37:59,2018-10-02 11:38:03,4.434s,PASSED
tap,,,2018-10-02 11:38:03,2018-10-02 11:38:06,2.442s,PASSED
closeApplication,,,2018-10-02 11:38:06,2018-10-02 11:38:06,0.539s,PASSED
