Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Telco,,,2018-10-11 16:44:52,2018-10-11 16:45:49,56.660s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-11 16:44:53,2018-10-11 16:45:25,32.253s,PASSED
startApplication,,,2018-10-11 16:44:53,2018-10-11 16:45:25,31.822s,PASSED
,,,,,,
Test Cases/DONA Telco,,,2018-10-11 16:45:25,2018-10-11 16:45:49,23.346s,FAILED
delay,,,2018-10-11 16:45:25,2018-10-11 16:45:33,8.020s,PASSED
tap,,,2018-10-11 16:45:33,2018-10-11 16:45:38,4.671s,PASSED
tap,,,2018-10-11 16:45:38,2018-10-11 16:45:42,3.537s,PASSED
tap,,,2018-10-11 16:45:42,2018-10-11 16:45:43,1.346s,PASSED
tap,,,2018-10-11 16:45:43,2018-10-11 16:45:49,5.566s,FAILED
