Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD ONLINE,,,2018-10-31 19:13:23,2018-10-31 19:16:15,2m - 51.331s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-31 19:13:24,2018-10-31 19:14:02,38.077s,PASSED
startApplication,,,2018-10-31 19:13:25,2018-10-31 19:14:02,37.529s,PASSED
,,,,,,
Test Cases/DONA 1st bod,,,2018-10-31 19:14:02,2018-10-31 19:16:14,2m - 11.483s,FAILED
delay,,,2018-10-31 19:14:03,2018-10-31 19:14:18,15.077s,PASSED
tap,,,2018-10-31 19:14:18,2018-10-31 19:14:22,4.007s,PASSED
tap,,,2018-10-31 19:14:22,2018-10-31 19:14:26,3.392s,PASSED
tap,,,2018-10-31 19:14:26,2018-10-31 19:14:28,2.967s,PASSED
tap,,,2018-10-31 19:14:28,2018-10-31 19:14:33,4.711s,PASSED
tap,,,2018-10-31 19:14:33,2018-10-31 19:14:35,2.304s,PASSED
tap,,,2018-10-31 19:14:35,2018-10-31 19:14:46,10.868s,PASSED
tap,,,2018-10-31 19:14:46,2018-10-31 19:15:45,58.302s,PASSED
tap,,,2018-10-31 19:15:45,2018-10-31 19:15:49,3.923s,PASSED
tap,,,2018-10-31 19:15:49,2018-10-31 19:15:52,3.210s,PASSED
tap,,,2018-10-31 19:15:52,2018-10-31 19:15:55,3.632s,PASSED
tap,,,2018-10-31 19:15:55,2018-10-31 19:15:58,2.419s,PASSED
scrollToText,,,2018-10-31 19:15:58,2018-10-31 19:16:02,4.231s,PASSED
tap,,,2018-10-31 19:16:02,2018-10-31 19:16:04,2.088s,PASSED
tap,,,2018-10-31 19:16:04,2018-10-31 19:16:14,9.649s,FAILED
