Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Online Offline,,,2018-10-11 16:52:19,2018-10-11 16:55:04,2m - 44.346s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-11 16:52:20,2018-10-11 16:52:55,35.166s,PASSED
startApplication,,,2018-10-11 16:52:20,2018-10-11 16:52:55,34.751s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-11 16:52:55,2018-10-11 16:55:03,2m - 8.294s,FAILED
delay,,,2018-10-11 16:52:55,2018-10-11 16:53:03,8.042s,PASSED
tap,,,2018-10-11 16:53:03,2018-10-11 16:53:07,3.842s,PASSED
tap,,,2018-10-11 16:53:07,2018-10-11 16:53:11,3.769s,PASSED
tap,,,2018-10-11 16:53:11,2018-10-11 16:53:14,2.897s,PASSED
tap,,,2018-10-11 16:53:14,2018-10-11 16:53:19,5.469s,PASSED
tap,,,2018-10-11 16:53:19,2018-10-11 16:53:22,2.310s,PASSED
tap,,,2018-10-11 16:53:22,2018-10-11 16:53:33,11.309s,PASSED
tap,,,2018-10-11 16:53:33,2018-10-11 16:54:34,1m - 0.919s,PASSED
tap,,,2018-10-11 16:54:34,2018-10-11 16:54:37,3.438s,PASSED
tap,,,2018-10-11 16:54:37,2018-10-11 16:54:40,2.770s,PASSED
tap,,,2018-10-11 16:54:40,2018-10-11 16:54:46,6.023s,PASSED
tap,,,2018-10-11 16:54:46,2018-10-11 16:54:48,1.992s,PASSED
scrollToText,,,2018-10-11 16:54:48,2018-10-11 16:54:52,3.556s,PASSED
tap,,,2018-10-11 16:54:52,2018-10-11 16:54:54,1.908s,PASSED
tap,,,2018-10-11 16:54:54,2018-10-11 16:55:03,9.741s,FAILED
