Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Online Offline,,,2018-10-11 11:24:28,2018-10-11 11:28:14,3m - 46.630s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-11 11:24:28,2018-10-11 11:24:59,30.976s,PASSED
startApplication,,,2018-10-11 11:24:29,2018-10-11 11:24:59,30.377s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-11 11:24:59,2018-10-11 11:28:14,3m - 14.582s,FAILED
delay,,,2018-10-11 11:25:00,2018-10-11 11:25:08,8.037s,PASSED
tap,,,2018-10-11 11:25:08,2018-10-11 11:25:11,3.279s,PASSED
tap,,,2018-10-11 11:25:11,2018-10-11 11:25:14,3.276s,PASSED
tap,,,2018-10-11 11:25:14,2018-10-11 11:25:17,2.719s,PASSED
tap,,,2018-10-11 11:25:17,2018-10-11 11:25:22,5.517s,PASSED
tap,,,2018-10-11 11:25:22,2018-10-11 11:25:24,1.782s,PASSED
tap,,,2018-10-11 11:25:24,2018-10-11 11:25:35,10.638s,PASSED
tap,,,2018-10-11 11:25:35,2018-10-11 11:26:31,55.838s,PASSED
tap,,,2018-10-11 11:26:31,2018-10-11 11:26:36,5.073s,PASSED
tap,,,2018-10-11 11:26:36,2018-10-11 11:26:38,2.236s,PASSED
tap,,,2018-10-11 11:26:38,2018-10-11 11:26:41,3.413s,PASSED
tap,,,2018-10-11 11:26:41,2018-10-11 11:26:44,2.232s,PASSED
scrollToText,,,2018-10-11 11:26:44,2018-10-11 11:26:47,3.667s,PASSED
tap,,,2018-10-11 11:26:47,2018-10-11 11:26:49,2.114s,PASSED
tap,,,2018-10-11 11:26:49,2018-10-11 11:26:54,4.578s,PASSED
tap,,,2018-10-11 11:26:54,2018-10-11 11:26:56,1.780s,PASSED
tap,,,2018-10-11 11:26:56,2018-10-11 11:26:58,2.413s,PASSED
setText,,,2018-10-11 11:26:58,2018-10-11 11:27:00,1.645s,PASSED
setText,,,2018-10-11 11:27:00,2018-10-11 11:27:02,2.498s,PASSED
setText,,,2018-10-11 11:27:02,2018-10-11 11:27:04,1.944s,PASSED
setText,,,2018-10-11 11:27:04,2018-10-11 11:27:06,2.070s,PASSED
scrollToText,,,2018-10-11 11:27:06,2018-10-11 11:27:11,4.415s,PASSED
setText,,,2018-10-11 11:27:11,2018-10-11 11:27:12,1.498s,PASSED
tap,,,2018-10-11 11:27:12,2018-10-11 11:27:15,2.903s,PASSED
setText,,,2018-10-11 11:27:15,2018-10-11 11:27:17,2.118s,PASSED
tap,,,2018-10-11 11:27:17,2018-10-11 11:27:20,3.019s,PASSED
setText,,,2018-10-11 11:27:20,2018-10-11 11:27:22,1.255s,PASSED
tap,,,2018-10-11 11:27:22,2018-10-11 11:27:24,2.626s,PASSED
tap,,,2018-10-11 11:27:24,2018-10-11 11:27:25,1.214s,PASSED
tap,,,2018-10-11 11:27:25,2018-10-11 11:27:27,1.753s,PASSED
tap,,,2018-10-11 11:27:27,2018-10-11 11:27:28,1.118s,PASSED
tap,,,2018-10-11 11:27:28,2018-10-11 11:27:30,1.899s,PASSED
tap,,,2018-10-11 11:27:30,2018-10-11 11:27:32,1.497s,PASSED
setText,,,2018-10-11 11:27:32,2018-10-11 11:27:33,1.728s,PASSED
setText,,,2018-10-11 11:27:33,2018-10-11 11:27:35,2.009s,PASSED
scrollToText,,,2018-10-11 11:27:35,2018-10-11 11:27:39,3.566s,PASSED
tap,,,2018-10-11 11:27:39,2018-10-11 11:27:42,2.672s,PASSED
tap,,,2018-10-11 11:27:42,2018-10-11 11:27:43,1.592s,PASSED
tap,,,2018-10-11 11:27:43,2018-10-11 11:27:44,1.127s,PASSED
setText,,,2018-10-11 11:27:44,2018-10-11 11:27:46,2.127s,PASSED
setText,,,2018-10-11 11:27:46,2018-10-11 11:27:48,1.980s,PASSED
tap,,,2018-10-11 11:27:48,2018-10-11 11:27:52,3.164s,PASSED
scrollToText,,,2018-10-11 11:27:52,2018-10-11 11:28:00,8.020s,PASSED
tap,,,2018-10-11 11:28:00,2018-10-11 11:28:01,1.498s,PASSED
tap,,,2018-10-11 11:28:01,2018-10-11 11:28:05,3.571s,PASSED
tap,,,2018-10-11 11:28:05,2018-10-11 11:28:07,2.185s,PASSED
tap,,,2018-10-11 11:28:07,2018-10-11 11:28:14,6.877s,FAILED
