Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD ONLINE,,,2018-10-31 19:07:59,2018-10-31 19:09:02,1m - 2.924s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-31 19:07:59,2018-10-31 19:08:31,31.641s,PASSED
startApplication,,,2018-10-31 19:07:59,2018-10-31 19:08:31,31.261s,PASSED
,,,,,,
Test Cases/DONA 1st bod,,,2018-10-31 19:08:31,2018-10-31 19:09:01,30.253s,FAILED
delay,,,2018-10-31 19:08:31,2018-10-31 19:08:46,15.059s,PASSED
tap,,,2018-10-31 19:08:46,2018-10-31 19:08:51,4.297s,PASSED
tap,,,2018-10-31 19:08:51,2018-10-31 19:08:54,3.212s,PASSED
tap,,,2018-10-31 19:08:54,2018-10-31 19:09:01,7.280s,FAILED
