Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD ONLINE,,,2018-10-10 17:40:55,2018-10-10 17:43:44,2m - 49.430s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-10 17:40:55,2018-10-10 17:41:25,30.171s,PASSED
startApplication,,,2018-10-10 17:40:56,2018-10-10 17:41:25,29.784s,PASSED
,,,,,,
Test Cases/DONA 1st bod,,,2018-10-10 17:41:25,2018-10-10 17:43:44,2m - 18.416s,FAILED
delay,,,2018-10-10 17:41:26,2018-10-10 17:41:33,7.067s,PASSED
tap,,,2018-10-10 17:41:33,2018-10-10 17:41:37,4.303s,PASSED
tap,,,2018-10-10 17:41:37,2018-10-10 17:41:41,3.989s,PASSED
tap,,,2018-10-10 17:41:41,2018-10-10 17:41:44,2.656s,PASSED
tap,,,2018-10-10 17:41:44,2018-10-10 17:41:50,6.195s,PASSED
tap,,,2018-10-10 17:41:50,2018-10-10 17:41:52,1.806s,PASSED
tap,,,2018-10-10 17:41:52,2018-10-10 17:42:02,10.575s,PASSED
tap,,,2018-10-10 17:42:02,2018-10-10 17:42:50,47.404s,PASSED
tap,,,2018-10-10 17:42:50,2018-10-10 17:42:54,3.981s,PASSED
tap,,,2018-10-10 17:42:54,2018-10-10 17:42:56,2.274s,PASSED
tap,,,2018-10-10 17:42:56,2018-10-10 17:43:01,5.023s,PASSED
tap,,,2018-10-10 17:43:01,2018-10-10 17:43:03,2.299s,PASSED
scrollToText,,,2018-10-10 17:43:03,2018-10-10 17:43:07,4.024s,PASSED
tap,,,2018-10-10 17:43:07,2018-10-10 17:43:09,1.767s,PASSED
tap,,,2018-10-10 17:43:09,2018-10-10 17:43:14,4.789s,PASSED
tap,,,2018-10-10 17:43:14,2018-10-10 17:43:16,2.098s,PASSED
tap,,,2018-10-10 17:43:16,2018-10-10 17:43:19,2.403s,PASSED
setText,,,2018-10-10 17:43:19,2018-10-10 17:43:20,1.873s,PASSED
setText,,,2018-10-10 17:43:20,2018-10-10 17:43:22,1.947s,PASSED
setText,,,2018-10-10 17:43:22,2018-10-10 17:43:24,1.958s,PASSED
setText,,,2018-10-10 17:43:24,2018-10-10 17:43:26,1.963s,PASSED
scrollToText,,,2018-10-10 17:43:26,2018-10-10 17:43:31,4.440s,PASSED
setText,,,2018-10-10 17:43:31,2018-10-10 17:43:32,1.645s,PASSED
tap,,,2018-10-10 17:43:32,2018-10-10 17:43:36,3.522s,PASSED
setText,,,2018-10-10 17:43:36,2018-10-10 17:43:37,1.541s,PASSED
tap,,,2018-10-10 17:43:37,2018-10-10 17:43:41,3.146s,PASSED
setText,,,2018-10-10 17:43:41,2018-10-10 17:43:42,1.773s,PASSED
tap,,,2018-10-10 17:43:42,2018-10-10 17:43:44,1.430s,FAILED
