Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Telco,,,2018-10-11 16:15:49,2018-10-11 16:17:07,1m - 18.373s,PASSED
,,,,,,
Test Cases/Open,,,2018-10-11 16:15:49,2018-10-11 16:16:23,34.048s,PASSED
startApplication,,,2018-10-11 16:15:50,2018-10-11 16:16:23,33.665s,PASSED
,,,,,,
Test Cases/DONA Telco,,,2018-10-11 16:16:23,2018-10-11 16:17:07,43.285s,PASSED
delay,,,2018-10-11 16:16:24,2018-10-11 16:16:32,8.040s,PASSED
tap,,,2018-10-11 16:16:32,2018-10-11 16:16:36,4.070s,PASSED
tap,,,2018-10-11 16:16:36,2018-10-11 16:16:39,3.812s,PASSED
tap,,,2018-10-11 16:16:39,2018-10-11 16:16:43,3.255s,PASSED
tap,,,2018-10-11 16:16:43,2018-10-11 16:16:48,5.583s,PASSED
setText,,,2018-10-11 16:16:48,2018-10-11 16:16:50,2.055s,PASSED
scrollToText,,,2018-10-11 16:16:50,2018-10-11 16:16:54,3.798s,PASSED
tap,,,2018-10-11 16:16:54,2018-10-11 16:16:57,2.514s,PASSED
tap,,,2018-10-11 16:16:57,2018-10-11 16:16:58,1.316s,PASSED
pressBack,,,2018-10-11 16:16:58,2018-10-11 16:16:59,0.548s,PASSED
delay,,,2018-10-11 16:16:59,2018-10-11 16:17:07,8.003s,PASSED
