Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD ONLINE,,,2018-10-10 17:45:18,2018-10-10 17:49:33,4m - 15.316s,PASSED
,,,,,,
Test Cases/Open,,,2018-10-10 17:45:19,2018-10-10 17:45:49,30.934s,PASSED
startApplication,,,2018-10-10 17:45:19,2018-10-10 17:45:49,30.604s,PASSED
,,,,,,
Test Cases/DONA 1st bod,,,2018-10-10 17:45:49,2018-10-10 17:49:33,3m - 43.494s,PASSED
delay,,,2018-10-10 17:45:50,2018-10-10 17:45:57,7.043s,PASSED
tap,,,2018-10-10 17:45:57,2018-10-10 17:46:01,4.284s,PASSED
tap,,,2018-10-10 17:46:01,2018-10-10 17:46:04,3.346s,PASSED
tap,,,2018-10-10 17:46:05,2018-10-10 17:46:07,2.733s,PASSED
tap,,,2018-10-10 17:46:07,2018-10-10 17:46:12,4.887s,PASSED
tap,,,2018-10-10 17:46:12,2018-10-10 17:46:14,1.774s,PASSED
tap,,,2018-10-10 17:46:14,2018-10-10 17:46:25,10.598s,PASSED
tap,,,2018-10-10 17:46:25,2018-10-10 17:47:47,1m - 22.839s,PASSED
tap,,,2018-10-10 17:47:47,2018-10-10 17:47:51,3.411s,PASSED
tap,,,2018-10-10 17:47:51,2018-10-10 17:47:53,2.220s,PASSED
tap,,,2018-10-10 17:47:53,2018-10-10 17:47:57,4.124s,PASSED
tap,,,2018-10-10 17:47:57,2018-10-10 17:48:00,2.908s,PASSED
scrollToText,,,2018-10-10 17:48:00,2018-10-10 17:48:04,3.990s,PASSED
tap,,,2018-10-10 17:48:04,2018-10-10 17:48:06,1.710s,PASSED
tap,,,2018-10-10 17:48:06,2018-10-10 17:48:07,1.249s,PASSED
tap,,,2018-10-10 17:48:07,2018-10-10 17:48:12,5.262s,PASSED
tap,,,2018-10-10 17:48:12,2018-10-10 17:48:15,2.978s,PASSED
setText,,,2018-10-10 17:48:15,2018-10-10 17:48:18,2.969s,PASSED
setText,,,2018-10-10 17:48:18,2018-10-10 17:48:20,1.892s,PASSED
setText,,,2018-10-10 17:48:20,2018-10-10 17:48:22,1.996s,PASSED
setText,,,2018-10-10 17:48:22,2018-10-10 17:48:24,2.011s,PASSED
scrollToText,,,2018-10-10 17:48:24,2018-10-10 17:48:29,4.558s,PASSED
setText,,,2018-10-10 17:48:29,2018-10-10 17:48:30,1.553s,PASSED
tap,,,2018-10-10 17:48:30,2018-10-10 17:48:33,2.540s,PASSED
setText,,,2018-10-10 17:48:33,2018-10-10 17:48:35,2.545s,PASSED
tap,,,2018-10-10 17:48:35,2018-10-10 17:48:38,2.825s,PASSED
setText,,,2018-10-10 17:48:38,2018-10-10 17:48:40,2.224s,PASSED
tap,,,2018-10-10 17:48:40,2018-10-10 17:48:43,2.961s,PASSED
tap,,,2018-10-10 17:48:43,2018-10-10 17:48:45,1.763s,PASSED
tap,,,2018-10-10 17:48:45,2018-10-10 17:48:47,2.052s,PASSED
tap,,,2018-10-10 17:48:47,2018-10-10 17:48:48,1.215s,PASSED
tap,,,2018-10-10 17:48:48,2018-10-10 17:48:50,2.052s,PASSED
tap,,,2018-10-10 17:48:50,2018-10-10 17:48:52,1.666s,PASSED
setText,,,2018-10-10 17:48:52,2018-10-10 17:48:53,1.248s,PASSED
setText,,,2018-10-10 17:48:53,2018-10-10 17:48:55,2.007s,PASSED
scrollToText,,,2018-10-10 17:48:55,2018-10-10 17:49:00,4.132s,PASSED
tap,,,2018-10-10 17:49:00,2018-10-10 17:49:02,2.807s,PASSED
tap,,,2018-10-10 17:49:02,2018-10-10 17:49:04,1.280s,PASSED
tap,,,2018-10-10 17:49:04,2018-10-10 17:49:05,1.648s,PASSED
setText,,,2018-10-10 17:49:05,2018-10-10 17:49:07,1.344s,PASSED
setText,,,2018-10-10 17:49:07,2018-10-10 17:49:08,1.849s,PASSED
tap,,,2018-10-10 17:49:08,2018-10-10 17:49:11,2.794s,PASSED
scrollToText,,,2018-10-10 17:49:11,2018-10-10 17:49:19,7.869s,PASSED
tap,,,2018-10-10 17:49:19,2018-10-10 17:49:20,1.196s,PASSED
tap,,,2018-10-10 17:49:20,2018-10-10 17:49:24,3.546s,PASSED
tap,,,2018-10-10 17:49:24,2018-10-10 17:49:27,2.643s,PASSED
tap,,,2018-10-10 17:49:27,2018-10-10 17:49:32,5.851s,PASSED
pressBack,,,2018-10-10 17:49:32,2018-10-10 17:49:33,0.600s,PASSED
